Type,SKU,Name,Published,Is featured?,Visibility in catalog,Regular price,In stock?,Stock status,Manage stock?,Stock,Backorders allowed?,Attribute 1 name,Attribute 1 value(s),Attribute 1 default,Attribute 1 visible,Attribute 1 global,Attribute 1 variation,Images,Parent,Description,Short description
variation,ilia-gen1-028,ILIA 一代系列 - 一代檸檬海鹽,1,0,visible,299,1,instock,0,999,0,口味,一代檸檬海鹽,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/ilia-gen1.jpg,ilia-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,ilia-gen1-029,ILIA 一代系列 - 一代藍莓,1,0,visible,299,1,instock,0,999,0,口味,一代藍莓,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/ilia-gen1.jpg,ilia-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,ilia-gen1-030,ILIA 一代系列 - 一代寶礦力,1,0,visible,299,1,instock,0,999,0,口味,一代寶礦力,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/ilia-gen1.jpg,ilia-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,ilia-gen1-031,ILIA 一代系列 - 一代鐵觀音,1,0,visible,299,1,instock,0,999,0,口味,一代鐵觀音,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/ilia-gen1.jpg,ilia-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variable,tutx-gen1,TUTX一代系列,1,0,visible,,1,instock,0,999,0,口味,"水梨, 可樂, 奶茶, 百香果, 老冰棍, 西瓜, 沙士, 芒果, 芭樂, 青蘋果, 南極冰, 哈密瓜, 荔枝, 莓果, 雪碧, 菸草, 葡萄, 蜜桃, 鳳梨, 蔓越莓, 龍井, 薄荷, 檸檬海鹽, 藍莓, 礦力, 鐵觀音",水梨,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,,"<h2>TUTX一代系列</h2>
<p>台灣現貨發貨。電子煙相關商品，規格與口味請於下單頁選擇。</p>
<p><strong>可選規格</strong>：水梨、可樂、奶茶、百香果、老冰棍、西瓜、沙士、芒果等共 26 款（請於下單頁「口味」下拉選擇）。</p>
<ul>
<li>商品編號 SKU：tutx-gen1</li>
<li>配送：台灣本島，支援<strong>貨到付款</strong></li>
<li>客服：下單前可透過 <strong>LINE ID</strong> 確認口味／配色與庫存</li>
</ul>
<p>台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。</p>
<p>※ 未滿 18 歲請勿購買；請依當地法規使用電子煙相關產品。</p>",台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-001,TUTX一代系列 - 水梨,1,0,visible,299,1,instock,0,999,0,口味,水梨,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-002,TUTX一代系列 - 可樂,1,0,visible,299,1,instock,0,999,0,口味,可樂,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-003,TUTX一代系列 - 奶茶,1,0,visible,299,1,instock,0,999,0,口味,奶茶,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-004,TUTX一代系列 - 百香果,1,0,visible,299,1,instock,0,999,0,口味,百香果,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-005,TUTX一代系列 - 老冰棍,1,0,visible,299,1,instock,0,999,0,口味,老冰棍,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-006,TUTX一代系列 - 西瓜,1,0,visible,299,1,instock,0,999,0,口味,西瓜,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-007,TUTX一代系列 - 沙士,1,0,visible,299,1,instock,0,999,0,口味,沙士,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
variation,tutx-gen1-008,TUTX一代系列 - 芒果,1,0,visible,299,1,instock,0,999,0,口味,芒果,,1,0,1,https://sp2s.app/wp-content/uploads/2026/05/tutx-gen1.jpg,tutx-gen1,,台灣現貨，支援貨到付款；下單前可透過 LINE ID 聯繫確認口味、規格與庫存。
